label,Tweet
0,itu konflik rebut tanah
0,bisa tidak palestina taat cara kaffah dalam islam dengan ganti demokrasi jadi sistem islam akan hal ini jadi kunci allah akan baik ada di tiap tempat yang sangkut
1,kalau palestina rohingya lebih ke konflik politik sih soal oknum yang libat dari perintah luar ke islam bukan islam ke oknum luar jadi gak apple to apple sama teroris cmiiw
1,teroris islam itu gejala baru utama bagai imbas konflik israel palestina tahun an yang sohor malah teroris merah sisa pernah aksi di jakarta tahun
2,paling sedikit gregetan gue turun karena kamu moderat saya tidak peduli dengan zionisme atau gera yang dukung palestina ini konflik mereka yang gak sangkut paut dengan kita
1,tolong negara negara arab atau lain harus tegak bebas dan hak asasi manusia di palestina jangan cuma banyak bacot doang untuk urus negara yang banyak sumber daya alam contoh negara amerika
0,apa kalian yang teriak toleransi tau bagaimana islam jaga bebas agama lain agama ingat kisah amirul mukminin umar ibn khatab bebas jarusalem palestina
1,memang konflik israel-palestina memang kompleks
0,moga allah tolong saudara kita di palestina aamiin yra alfatehah
2,jajah palestina jadi telah runtuh khilafah bahkan telah diri puluh negara arab mereka gak mampu bebas al aqso masih enggak rasa rindu khilafah islamiah
1,banyak korban luka karena tembak peluru karet dan pecah dari granat kejut
1,saya tuju pak untuk urusin palestina saja jadi duta palestina saja pak dan tinggal sana lama tahun
0,gue lagi mikir dalam perspektif netral dan ya gak israel gka palestina tembak sipil juga jadi hampir tiap perang juga
1,konflik israel palestina itu gak hubung dengan agama di israel orang islam yang jadi tentara israel di palestina warga yang yahudi ortodoks dan nasrani tapi kenapa kayak tiap ramadhan selalu ribut
0,konflik israel dan palestina sudah tulis di al quran
0,jangan pelihara konflik dan derita warga palestina dengan bilang itu semua sudah takdir mereka untuk jajah israel freepalestine
2,respon begitu punya beberapa masalah bias akar masalah konflik palestina-israel kerdil kasus dari konflik jadi batas agama batas diskusi tentang selesai konflik
0,konflik israel palestina tidak bisa di diam begitu saja as dan uni eropa sama seru agar israel dan palestina reda tegang telah jadi bentrok te
0,dari zaman bung karno gak ubah tuh palestina kenapa yaa bisa gitu konflik apa di sana
1,konflik palestina itu murni bisnis yang sudah sejak puluh tahun lalu hanya orang yang kurang literasi yang khawatir mereka
1,di israel pun banyak kok warga yang kecam praktik kolonialisme ini peran media puluh tahun geser makna konflik israel-palestina jadi perang agama
1,konflik palestina dan israel saat ini bentuk dr ingin militer israel yang ingin okupasi wilayah sekitar al-aqsa simpul
0,kenapa sih israel nyerang palestina saat hari besar islam atau ketika ibadah sholat jum at atau jadi kemarin saat sholat tarawih konflik karena agama kah atau konflik karena wilayah kah
2,konflik israel vs palestina itu kompleks sampai sekarang masih belum penyelesaiian
0,gilir konflik myanmar kalian suara ini palestina jajah
2,terus pbb tuh ngapain sih kok bisa sampai konflik di palestina kayak gin tapi gak beres gue heran
0,sejak duduk dan diri negara israel di kawasan yerusalem bagai wilayah palestina dan negeri tiga agama yaitu islam
1,masih banyak orang yang pikir bahwa konflik yang jadi di palestina adalah konflik agama it is not
1,akan sangat mudah bagi negara kolonial untuk rebut palestina apabila konflik sebut atas nama agama jadi kita yang awam ini tak acuh dan hanya anggap angin lalu saja sudah dari awal konflik
0,tiap ngelihat palestina ini sejak dulu selalu ngerasa sedih bukan karena apa yang jadi
1,konflik yang jadi di palestina emang rumit gak bisa di nilai pihak gitu aja
0,situasi konflik israel-palestina akan jadi cermin bagi kondisi geopolitik di timur tengah dan juga di level internasional
1,yang buat saya takjub adalah konflik ini jadi sudah berapa dekade
1,aksi keras baru israel di masjid al-aqsa bisa guna bagai momentum untuk tegak hukum internasional kait konflik palestina-israel
2,kabar konflik apa itu apalagi di palestina emang ibarat geledek di siang bolong yang bikin kesel dan sakit hati tapi dengan propaganda tuju dukung sesuatu tanpa ajak orang untuk bisa paham
1,teror tak hanya laku oleh individu dan kelompok dari agama dan etnis tentu yang jadi di palestina adalah teror buah rezim
1,palestina butuh hadir pikir dari syarikat muhammadiyah yang harap dapat cari solusi bagaimana cara agar palestina dapat nikmat merdeka
1,mari kita tunduk kepala dan doa saudara saudara muslim kita di palestina atau daerah konflik timur tengah agar senantiasa beri sabar
2,lucu dari jaman ke jaman doa gak kabul lalu apa yang salah konflik palestina vs israel bukan soal agama yaa tapi politik kuasa dan itu sudah
0,konflik israel palestina itu gak akan henti sampai hari kiamat nanti
1,yap tuju saya simpati juga dengan palestina
1,yang bilang konflik di palestina bukan soal agama mungkin benar dia kata
1,jujur sampe sekarang gue gak ngerti akar masalah yang trjadi antara palestina dan israel
1,palestina dan israel itu konflik bukan dalam konteks konflik agama tapi politik kaget saja komenannya pada dukung israel cara tidak langsung kalian pada dukung kolonialisme atau jajah
1,dan palestina dan israel itu konflik bukan dalam konteks konflik agama tapi politik kaget aja komenannya pada dukung israel cara ga langsung lu pada dukung colonialisme atau jajah
2,mereka kedok lembaga sosial
0,entah apakah cuma aku yang rasa kalau konflik palestina dan israel ini gak begitu tanggap sama dunia dan publik figur dunia
2,buat orang kristen yang dukung israel karena janji lama seperti sangat bodoh mereka lupa kalau palestina juga isi minoritas kristen konflik ini murni politik dan bukan perang agama
0,bangsa palestina ami tanah kosong itu ketika bangsa israel usir saat kalah jajah dan akhir sebar seluruh dunia bagaimana pun juga
1,israel ken ngerebut palestina cuma atas dasar percaya mereka dan ini konflik abadi sampai kiamat tulis di kitab
1,iya israel ken ngerebut palestina cuma atas dasar percaya mereka dan ini konflik abadi sampai kiamat tulis di kitab
0,konflik israel palestina itu konflik rebut daerah atau politik bukan masalah agama
0,konflik israel palestina itu konflik rebut daerah atau politik bukan masalah agama
0,konflik yang tidak akan pernah ujung nii sampai kiamat
2,ngapain ngurusin palestina sudah lihat konflik penting
2,sebel banget liat masih banyak yang framing konflik israel-palestina bagai konflik zionis yahudi vs muslim palestina
0,beri merdeka kepada hongkong dan lepas taiwan dari masalah internasional serta selesai konflik israel-palestina
1,konflik israel-palestina harus di lihat akar masalah
2,dari dulu sampai sekarang belum pernah denger pasu damai pbb dipalestina percuma badan dunia tapi gak bisa selesai konflik palestina israel
2,dalam pikir yang kolot dan batas ini ya peran redaksi media itu uji saat langgar ham yang di palestina media yang mau ku kritisi adalah tepewen why tendensi pimred cenderu
0,gue pro dan kontra soal kasus palestina dan israel
1,tidak akan pernah israel dapat hancur kan masjid alaqsa sampai kiamat pun dan israel tidak akan musnah sampai hari akhir jika bisa di hancur kan sudah sejak lama
1,tuju memang agenda utama indonesia apabila jd member tidak tetap un security council adalah untuk bela hak palestina jadi negara utuh
2,kalau palestina dan israel sudah damai arti kiamat sudah dekat
1,save moga orang di palestina dalam ada sehat semua dan moga konflik yang lama ini jadi bisa akhir cepat mungkin amiinnn savesheikhjarrah savepalestine
1,mungkin kita udh bisa lebih dewasa kali ya untuk coba lihat konflik kali ini dari sisi yang lebih objektif tidak melulu tentang sedih palestina kenapa
2,ini gue bikin thread bahas hanya tentang kasus yang lagi rame minggu blakangan ini ya ajak kita sama pikir objektif aja bukan tentang konflik palestina zionis israel yang sudah mau satu abad ini
0,konflik israel-palestina ingat akan baik hati saladin ketika hasil rebut kota jerusalem saladin enggan untuk siksa atau usir umat non-muslim dari jerusalem
2,soal konflik israel-palestina sebenernya israel juga capek nyerang mulu cuma mereka sadar aja kalau mereka henti nyerang bakal kiamat wkwkwk
1,kaum cerdas dan kritis nkri kalau soal konflik israel-palestina
1,mari lihat israel dan palestina bagai konflik negara bukan konflik agama
2,saya bukan pro yahudi asal anda tau tapi saya pro nyata nya aja sih fakta yang yang benar jadi rakyat biasa palestina dan israel mereka hidup normal damping benar
2,akhir israel bakal buat serang udara di gaza mengapa negara arab gak yang mau nyuplai senjata ke palestina bisa pakai ngehajar negara arab lain cuma iran yang mau suplai
1,cukup fair jika perintah perlu juga dorong rakyat palestina hindar tindak provokatif yang mancing konflik dengan aparat israel konflik hanya rugi semua pihak dorong semua pihak cipta perda
0,dari kemarin ajar soal sejarah palestina-israel dari usir kaum yahudi dari yudae sama kaum romawi sampai runtuh raja ottoman yang sebab hilang lindung atas palestina
1,banyak tanya pbb mana dalam kasus palestina israel padahal pbb sudah ngambil tindak sejak awal konflik
0,yang bikin palestina dan israel perang itu karena mirip sejarah
1,facebook sangat tidak ramah dengan berita konflik palestina israel tiga akun saya tumbang gara-gara berita situasi kini laku zionis hadap rakyat palestina alaqsaunderattack
1,konflik israel palestina tuh bukan melulu soal agama tapi konflik penting yang mereka rebut tuh wilayah
1,yang bilang tapi nanti kiamat wkwk ke orang harap konflik israel palestina selesai sangai egois gila aja komentar hal parah itu pake wkwk
1,banyak yang masih mikir jadi di palestina itu batas konflik agama hey gak gitu loh ini udah ngelawan ham
0,konflik palestina-israel memang bukan konflik sisi agama
