before	after
7an	tujuan
ababil	abg labil
abis	habis
acc	accord
ad	ada
adlah	adalah
adlh	adalah
adoh	aduh
afaik	as far as i know
aha	tertawa
ahaha	haha
aing	saya
aj	saja
aja	saja
ajep-ajep	dunia gemerlap
ajj	saja
ak	saya
aka	dikenal juga sebagai
akika	aku
akko	aku
akkoh	aku
akku	aku
akuwh	aku
akyu	aku
alay	norak
aljasa	asal jadi saja
alow	halo
ama	sama
ambilin	ambilkan
ambl	ambil
ancur	hancur
anjir	anjing
anjrit	anjing
ank	anak
anter	antar
ap	apa
ap2	apa-apa
apaan	apa
apasih	apa sih
ape	apa
apes	sial
aplot	unggah
aps	apa
apva	apa
aq	saya
aqu	aku
aquwh	aku
asap	sesegera mungkin
asbun	asal bunyi
aseek	asyik
aseekk	asyik
asek	asyik
asekk	asyik
aseknya	asyiknya
asem	asam
asoy	asyik
aspal	asli tetapi palsu
astrojim	astagfirullahaladzim
astul	asal tulis
ath	kalau begitu
ato	atau
atuh	kalau begitu
au ah	tidak mau tahu
ava	avatar
awak	saya
aws	awas
ay	sayang
ayang	sayang
ayank	sayang
ayok	ayo
b4	sebelum
bacot	banyak bicara
bakalan	akan
bales	balas
bandes	bantuan desa
bangdes	pembangunan desa
bangedh	banget
bangkotan	tua
banpol	bantuan polisi
banpres	bantuan presiden
banpur	bantuan tempur
bansarkas	bantuan sarana kesehatan
basbang	basi
bazis	badan amal, zakat, infak, dan sedekah
bcanda	bercanda
bcoz	karena
bdg	bandung
beb	sayang
begajulan	nakal
bejibun	banyak
beliin	belikan
belom	belum
bencong	banci
bener	benar
bentar	sebentar
ber2	berdua
ber3	bertiga
berdikari	berdiri di atas kaki sendiri
beresin	membereskan
bet	banget
bete	bosan
beti	beda tipis
beud	banget
beut	banget
bg	abang
bgd	banget
bgmn	bagaimana
bgs	bagus
bgt	banget
bhubu	tidur
bijimane	bagaimana
bimbuluh	bimbingan dan penyuluhan
bintal	bimbingan mental
bisi	kalau-kalau
bkl	akan
bkn	bukan
bknnya	bukannya
bl	beli
blegug	bodoh
blg	bilang
blh	boleh
blm	belum
bln	bulan
bls	balas
blum	belum
bnchi	benci
bnci	benci
bngung	bingung
bnran	yang benar
bnyk	banyak
bodor	lucu
bohay	badan aduhai
bokap	ayah
bokep	video porno
boker	buang air besar
bokin	pacar
bokis	bohong
bole	boleh
boljug	boleh juga
bolot	bodoh
bonek	bocah nekat
bonyok	ayah ibu
boyeh	boleh
bpk	bapak
br	baru
brb	segera kembali
brg	bareng
brngkt	berangkat
bro	saudara laki-laki
brp	berapa
bru	baru
brur	saudara laki-laki
bs	bisa
bsa	bisa
bsen	bosan
bsk	besok
bt	bosan sekali
bt	buat
btw	ngomong-ngomong
buaya	tidak setia
bubarin	bubarkan
bubbu	tidur
buber	buka bersama
bubu	tidur
bujubune	luar biasa
bumil	ibu hamil
buser	buru sergap
bw	bawa
bwhn	bawahan
bwt	buat
byar	bayar
byk	banyak
byr	bayar
byrin	bayarkan
c8	chat
cabal	sabar
cabut	pergi
cadas	keren
caem	cakep
calo	makelar
cama-cama	sama-sama
can	belum
cangcut	celana dalam
capcus	pergi
cape	capek
caper	cari perhatian
caur	jelek
ce	cewek
cekak	tidak ada uang
cekal	cegah tangkal
cekidot	coba lihat
cemen	penakut
cemplungin	cemplungkan
cengengesan	tertawa
ceper	pendek
cepet	cepat
ceu	kakak perempuan
cew	cewek
cewe	cewek
chuyunk	sayang
cibuk	sibuk
cimeng	ganja
cin	cinta
ciye	cie
ciyh	sih
ckck	ck
ckepp	cakep
ckp	cakep
ckp	cukup
clbk	cinta lama bersemi kembali
cmiiw	correct me if i'm wrong
cmpr	campur
cmpur	campur
cnenk	senang
cong	banci
congor	mulut
conlok	cinta lokasi
cow	cowok
cowwyy	maaf
coz	karena
cp	siapa
cpa	siapa
ngeri	seram
cpe	capek
cppa	siapa
cppe	capek
cr	cara
cucok	cocok
cuek	tidak acuh
cuex	cuek
cuman	Cuma
cumi	Cuma miscall
cungkring	kurus tinggi
cups	culun
cupu	culun
curanmor	pencurian kendaraan bermotor
curas	pencurian dengan kekerasan
curcol	curahan hati colongan
curhat	curahan hati
cwek	cewek
cwok	cowok
cyin	cinta
cz	karena
d	di
dagh	sudah
dah	deh
damang	sehat
dapet	dapat
dateng	datang
de	adik
dech	deh
dek	adik
deket	dekat
demen	suka
dengerin	dengarkan
deyh	deh
dg	dengan
dgn	dengan
dh	deh
diancurin	dihancurkan
digosipin	digosipkan
dimaafin	dimaafkan
dimana2	dimana-mana
dimintak	diminta
dimna	dimana
disono	di sana
diuber	dikejar
dket	dekat
dkit	sedikit
dkk	dan kawan-kawan
dl	dulu
dll	dan lain-lain
dlm	dalam
dlu	dulu
dmn	dimana
dngn	dengan
doang	saja
dodol	bodoh
doi	dia
doku	uang
dongs	dong
donlot	unduh
dpt	dapat
dr	dari
dri	dari
drmana	darimana
drmn	darimana
drpd	daripada
drtd	dari tadi
dsb	dan sebagainya
dst	dan seterusnya
dstu	disitu
dtg	datang
dugem	dunia gemerlap
duh	aduh
duit	uang
duren	durian
dy	dia
ed	edisi
edan	gila
egp	emang gue pikirin
eike	aku
eke	aku
elo	kamu
elu	kamu
emang	memang
emangnya	memangnya
emg	memang
emng	memang
emte	makan teman
endak	tidak
engga	tidak
enggak	tidak
entar	nanti
envy	iri
etc	et cetera
ex	mantan
ext	extension
fax	facsimile
fb	facebook
fifo	first in first out
finek	finansial ekonomi
folbek	follow back
fwd	diterukan
fyi	sebagai informasi
ga	tidak
gaada	tidak ada uang
gabisa	tidak bisa
gag	tidak
gahar	sangar
gaje	tidak jelas
gak	tidak
gamau	tidak mau
gan	juragan
gapapa	tidak apa-apa
gaptek	gagap teknologi
gatau	tidak tahu
gatek	gagap teknologi
gatot	gagal total
gawe	kerja
gax	tidak
gbs	tidak bisa
gda	tidak ada uang
gebetan	orang yang disuka
geer	gede rasa
geje	tidak jelas
gelo	gila
gepeng	gelandangan dan pengemis
ghiey	lagi
ghiy	lagi
gi	lagi
gile	gila
giman	gigi mancung
gimana	bagaimana
gini	begini
gino	gigi nongol
gitchu	gitu
githu	gitu
gitu	begitu
gj	tidak jelas
gk	tidak
gmana	bagaimana
gmn	bagaimana
gn	begini
goblog	goblok
goblok	bodoh
good	bagus
gokil	gila
golput	golongan putih
gombal	suka merayu
gowes	mengayuh sepeda
gpl	tidak pakai lama
gpny	tidak punya
gpp	tidak apa-apa
gr	gede rasa
gretong	gratis
gretongan	gratisan
gt	begitu
gtau	tidak tahu
gtw	tidak tahu
gua	saya
gue	saya
guoblok	goblok
guys	teman-teman
gw	saya
gws	cepat sembuh
ha	tertawa
haghaghag	tertawa
haha	tertawa
hakhak	tertawa
hallow	halo
handak	bahan peledak
hankam	pertahanan dan keamanan
hansip	pertahanan sipil
